data_year,maternal_race,resident_births,infant_deaths,imr_per_1000,note
2005,White,3229497,18114,5.61,
2005,Black,633153,8312,13.13,
2005,AIAN,44815,341,7.61,
2005,Asian or Pacific Islander,231112,1126,4.87,
2006,White,3310331,18267,5.52,
2006,Black,666494,8536,12.81,
2006,AIAN,47720,408,8.55,
2006,Asian or Pacific Islander,241048,1067,4.43,
2007,White,3336626,18451,5.53,
2007,Black,675676,8617,12.75,
2007,AIAN,49443,448,9.06,
2007,Asian or Pacific Islander,254488,1209,4.75,
2008,White,3274194,17822,5.44,
2008,Black,670811,8145,12.14,
2008,AIAN,49537,409,8.26,
2008,Asian or Pacific Islander,253184,1116,4.41,
2009,White,3173293,16530,5.21,
2009,Black,657618,7784,11.84,
2009,AIAN,48665,396,8.14,
2009,Asian or Pacific Islander,251089,1083,4.31,
2010,White,3069315,15668,5.10,
2010,Black,636425,7098,11.15,
2010,AIAN,46760,364,7.78,
2010,Asian or Pacific Islander,246886,1026,4.16,
2011,White,3020356,15184,5.03,
2011,Black,632901,6889,10.88,
2011,AIAN,46419,381,8.21,
2011,Asian or Pacific Islander,253915,1093,4.30,
2012,White,2999820,15076,5.03,
2012,Black,634126,6830,10.77,
2012,AIAN,46093,381,8.27,
2012,Asian or Pacific Islander,272803,1091,4.00,
2013,White,2985757,14938,5.00,
2013,Black,634760,6790,10.70,
2013,AIAN,45991,349,7.59,
2013,Asian or Pacific Islander,265673,1065,4.01,
2014,White,3019863,14883,4.93,
2014,Black,640562,6916,10.80,
2014,AIAN,44928,360,8.01,
2014,Asian or Pacific Islander,282723,1097,3.88,
2015,White,3012855,14817,4.92,
2015,Black,640079,6987,10.92,
2015,AIAN,44299,355,8.01,
2015,Asian or Pacific Islander,281264,1168,4.15,
2016,White,2945970,14290,4.85,
2016,Black,654067,7009,10.72,
2016,AIAN,43555,371,8.52,
2016,Asian or Pacific Islander,302283,1223,4.05,
2017,White,2857845,13805,4.83,
2017,Black,658115,6807,10.34,
2017,AIAN,41916,349,8.33,
2017,Asian or Pacific Islander,297624,1206,4.05,
2018,White,2834713,13343,4.71,
2018,Black,633552,6540,10.32,
2018,AIAN,42145,318,7.55,
2018,Asian or Pacific Islander,281302,1145,4.07,
2019,White,2790446,12819,4.59,
2019,Black,634642,6489,10.22,
2019,AIAN,41750,315,7.54,
2019,Asian or Pacific Islander,280702,1016,3.62,
2020,Not stated / not bridged,3613647,19346,5.35,unraced residual (natality bridged-race NULL 2020+)
2021,Not stated / not bridged,3664292,19965,5.45,unraced residual (natality bridged-race NULL 2020+)
2022,Not stated / not bridged,3667758,20268,5.53,unraced residual (natality bridged-race NULL 2020+)
2023,Not stated / not bridged,3596017,19743,5.49,unraced residual (natality bridged-race NULL 2020+)
